id,name,fans,Dh. Werbekoop. 1,Dh. Werbekoop. 2,Eigene Institution,soziales Engagement
MN,Manuel Neuer,"10,1m",Adidas,Coca-Cola-Zero,Manuel-Neuer-Kids-Foundation,x
MP,Marvin Plattenhardt,"60,8k",x,x,x,Show Racism the Red Card
JH,Jonas Hector,-,x,x,x,x
MG,Matthias Ginter,334k,x,x,Matthias-Ginter-Stiftung,x
MH,Mats Hummels,"2,4m",Adidas,Boss,x,UNICEF
SK,Sami Khedira,"4,8m",Nike,x,Sami-Khedira-Stiftung,Turbo für Talente
JD,Julian Draxler,"3,5m",Adidas,Ragon Sportmanagement GmbH,,UNICEF
TK,Toni Kroos,19m,Adidas,Nutella,Toni-Kroos-Stiftung,x
TW,Timo Werner,441k,Nike,Redbull,x,x
MO,Mesut Oezil,"17,2m",Adidas,Mercedes,The-Özil-Charitable-Foundation,x
MR,Marco Reus,"6,8m",Puma,Panasonic,x,ELTERNTREFF
KT,Kevin Trapp,"1,7m",x,x,x,x
TM,Thomas Mueller,"5,9m",Adidas,Barilla,x,YoungWings
LG,Leon Goretzka,572k,x,x,x,x
NS,Niklas Suele,402k,x,x,x,x
AR,Antonio Ruediger,823k,x,x,x,x
JB,Jerome Boateng,"5,7m",JBL,McDonalds,x,Living a Dream
JK,Joshua Kimmich,"1,9m",Nike,x,x,x
SR,Sebastian Rudy,302k,Jaimie Jacobs,x,x,x
JB,Julian Brandt,361k,x,x,x,x
IG,Ilkay Guendogan,"2,2m",x,x,x,Mäzen Kreisstadt Dursunbey
MS,Marc-André ter Stegen,"7,4m",x,x,x,x