ID,name,Instagram-Follower,Marktwert,Alter,Berater,Spielzeit bei WM,Type,Zweck,national/international
AR,Antonio Ruediger,823000,40000000,25,FSB â€“ Spielerberatung GmbH,90,0,,2
IG,Ilkay Guendogan,2200000,40000000,27,Family & Football,59,0,,2
JB,Jerome Boateng,5700000,45000000,30,CN Sports,172,0,,1
JBR,Julian Brandt,361000,45000000,22,(FamilienangehÃ¶rige),19,0,,1
JD,Julian Draxler,3500000,30000000,25,ROGON,135,0,,2
JH,Jonas Hector,0,15000000,28,act,165,0,,1
JK,Joshua Kimmich,1900000,55000000,23,fair-sport GmbH,270,0,,1
KT,Kevin Trapp,1700000,8000000,28,JÃ¶rg Neubauer,0,0,,1
LG,Leon Goretzka,572000,40000000,23,JÃ¶rg Neubauer,63,0,,1
MG,Matthias Ginter,334000,25000000,24,ISMG International,0,0,,1
MGO,Mario GÃ_mez,853000,6000000,33,fair-sport GmbH,88,0,,1
MH,Mats Hummels,2500000,60000000,29,HMH Sportmanagement,180,0,,1
MN,Manuel Neuer,10100000,30000000,32,PRO Profil GmbH,270,0,,1
MO,Mesut Oezil,17200000,45000000,29,Family & Football,180,0,,2
MP,Marvin Plattenhardt,60800,17000000,26,Briem Soccer Connection,79,0,,1
MR,Marco Reus,6800000,40000000,29,SportsTotal,210,0,,1
MS,Marc-AndrÃ© ter Stegen,7400000,60000000,26,Coaches & More GmbH,0,0,,2
NS,Niklas Suele,402000,45000000,23,Karlheinz FÃ¶rster,90,0,,1
SK,Sami Khedira,4800000,25000000,31,NGM SPORTS,118,0,,2
SR,Sebastian Rudy,302000,15000000,28,(FamilienangehÃ¶rige),31,0,,1
TK,Toni Kroos,19000000,80000000,28,SportsTotal,270,0,,2
TM,Thomas Mueller,5900000,55000000,29,KÃ¶gl & Partner GmbH,207,0,,1
TW,Timo Werner,441000,60000000,22,Karlheinz FÃ¶rster,266,0,,1
11_Teamsports,,,,,,,1,2,
Adidas,,,,,,,1,2,
Aktion_Ehrenamt_Des_Dfb,,,,,,,1,1,
Allianz,,,,,,,1,2,
Apple_Music,,,,,,,1,2,
Barilla,,,,,,,1,2,
beko,,,,,,,1,2,
BigShoe,,,,,,,1,1,
Braun,,,,,,,1,2,
Caseable,,,,,,,1,2,
City_in_the_Community_Foundation,,,,,,,1,1,
Coca_Cola,,,,,,,1,2,
Common_Goal ,,,,,,,1,1,
Daimler,,,,,,,1,2,
Die_Wiege,,,,,,,1,1,
Disneys_Die_Monster_Uni,,,,,,,1,2,
DKMS,,,,,,,1,1,
Doppelherz,,,,,,,1,2,
Ea_Sports_Fifa,,,,,,,1,2,
Edel_Optics,,,,,,,1,2,
EHFK,,,,,,,1,2,
Elterninitiative_Saarland,,,,,,,1,1,
ELTERNTREFF_Dortmund,,,,,,,1,2,
FC_Schalke_04,,,,,,,1,2,
Ferrero,,,,,,,1,2,
Fight_for_Finn,,,,,,,1,1,
FOX,,,,,,,1,2,
Gazi,,,,,,,1,2,
Gemeinde_Dietingen,,,,,,,1,1,
Gillette,,,,,,,1,2,
Head_and_Shoulders,,,,,,,1,2,
Hugo_Boss,,,,,,,1,2,
Initiative_der_Kinder- und_Jugendklinik_Freiburg e.V,,,,,,,1,1,
Jamie_Jacobs,,,,,,,1,2,
JBL,,,,,,,1,2,
Jd_Marketing_GmbH,,,,,,,1,2,
Jugendhilfe_Jona,,,,,,,1,1,
kaliber5_SPORTS,,,,,,,1,2,
KiO_Kinderhilfe_Organtransplantation,,,,,,,1,1,
KT01_Collection,,,,,,,1,2,
Kumpelkiste,,,,,,,1,1,
Laureus_Sport_for_Good,,,,,,,1,1,
Lavia_Trauergruppe,,,,,,,1,1,
Lays,,,,,,,1,2,
Living_a_Dream,,,,,,,1,1,
Manuel_Neuer_Kids_Foundation,,,,,,,1,1,
Matthias-Ginter-Stiftung,,,,,,,1,1,
McDavid_Football,,,,,,,1,2,
McDonalds,,,,,,,1,2,
Mein_Klub_Meine_Hilfe,,,,,,,1,1,
Mercedes_amg,,,,,,,1,2,
MobileWorld24,,,,,,,1,2,
My_Topps,,,,,,,1,2,
Nike,,,,,,,1,2,
Nujeen's_Dream,,,,,,,1,1,
Opel,,,,,,,1,2,
Pepsi,,,,,,,1,2,
PlayStation,,,,,,,1,2,
Porsche_JugendfÃ¶rderung,,,,,,,1,1,
Puma,,,,,,,1,2,
Rewe,,,,,,,1,2,
Rtl_Wir_Helfen_Kindern,,,,,,,1,1,
Sami-Khedira-Stiftung,,,,,,,1,1,
Show_Racism_the_Red_Card,,,,,,,1,1,
Sky_Charity,,,,,,,1,1,
Sony_Alpha,,,,,,,1,2,
SPortsTotal,,,,,,,1,2,
Tag_Heuer,,,,,,,1,2,
Telekom,,,,,,,1,2,
The_Oezil_Charitable_Foundation,,,,,,,1,1,
Tiwi_Ndogo_e.V.,,,,,,,1,1,
Toni-Kroos-Stiftung,,,,,,,1,1,
Trostpflaster_Aktion,,,,,,,1,1,
Unicef,,,,,,,1,1,
United_Charity,,,,,,,1,1,
Verlagsgruppe_Oetinger,,,,,,,1,2,
Vodafon,,,,,,,1,2,
Weber,,,,,,,1,2,
Young_Wings,,,,,,,1,1,